name,subtitle,acceleration,topspeed,range,efficiency,fastchargespeed,drive,numberofseats,priceingermany,priceinuk,region,address,aux_addres,latitude,longitude,type,power,brand,model,accelsec,topspeed_kmh,range_km,efficiency_whkm,fastcharge_kmh,rapidcharge,powertrain,plugtype,bodystyle,segment,seats,priceeuro,car,style,pricerange(lakhs),capacity,bootspace,basemodel,topmodel,speed_category,acceleration_class
mazda mx-30,battery electric vehicle |       30 kwh,,,,,180 km/h,front wheel drive,,"€34,490","£26,045",ndmc,between kirti mann plaza and nmc hospital sector 30 noida,"electric vehicle charger, between kirti mann plaza and nmc hospital sector 30 noida",,,dc-001,15 kw,tesla,e-soul 64 kwh,,,,,230,yes,awd,type 2 ccs,suv,c,,,audi e-tron,compact suv,,5 seater,350 l,excite,dark xz plus lux,medium,slow
ford mustang mach-e sr rwd,battery electric vehicle |       68 kwh,,,,,380 km/h,rear wheel drive,,"€46,900","£41,330",ndmc,between kirti mann plaza and nmc hospital sector 30 noida,"electric vehicle charger, between kirti mann plaza and nmc hospital sector 30 noida",,,dc-001,15 kw,tesla,e-soul 64 kwh,,,,,230,yes,awd,type 2 ccs,suv,c,,,audi e-tron,compact suv,,5 seater,350 l,excite,dark xz plus lux,medium,slow
ford mustang mach-e er rwd,battery electric vehicle |       88 kwh,,,,,430 km/h,rear wheel drive,,"€54,475","£49,980",ndmc,between kirti mann plaza and nmc hospital sector 30 noida,"electric vehicle charger, between kirti mann plaza and nmc hospital sector 30 noida",,,dc-001,15 kw,tesla,e-soul 64 kwh,,,,,230,yes,awd,type 2 ccs,suv,c,,,audi e-tron,compact suv,,5 seater,350 l,excite,dark xz plus lux,medium,slow
ford mustang mach-e sr awd,battery electric vehicle |       68 kwh,,,,,360 km/h,all wheel drive,,"€54,000","£46,650",ndmc,between kirti mann plaza and nmc hospital sector 30 noida,"electric vehicle charger, between kirti mann plaza and nmc hospital sector 30 noida",,,dc-001,15 kw,tesla,e-soul 64 kwh,,,,,230,yes,awd,type 2 ccs,suv,c,,,audi e-tron,compact suv,,5 seater,350 l,excite,dark xz plus lux,medium,slow
ford mustang mach-e er awd,battery electric vehicle |       88 kwh,,,,,410 km/h,all wheel drive,,"€62,900","£57,030",ndmc,between kirti mann plaza and nmc hospital sector 30 noida,"electric vehicle charger, between kirti mann plaza and nmc hospital sector 30 noida",,,dc-001,15 kw,tesla,e-soul 64 kwh,,,,,230,yes,awd,type 2 ccs,suv,c,,,audi e-tron,compact suv,,5 seater,350 l,excite,dark xz plus lux,medium,slow
ford mustang mach-e gt,battery electric vehicle |       88 kwh,,,,,400 km/h,all wheel drive,,"€50,000","£67,225",ndmc,between kirti mann plaza and nmc hospital sector 30 noida,"electric vehicle charger, between kirti mann plaza and nmc hospital sector 30 noida",,,dc-001,15 kw,tesla,e-soul 64 kwh,,,,,230,yes,awd,type 2 ccs,suv,c,,,audi e-tron,compact suv,,5 seater,350 l,excite,dark xz plus lux,medium,slow
audi e-tron sportback 50 quattro,battery electric vehicle |       64.7 kwh,,,,,490 km/h,all wheel drive,,"€71,350","£69,100",ndmc,between kirti mann plaza and nmc hospital sector 30 noida,"electric vehicle charger, between kirti mann plaza and nmc hospital sector 30 noida",,,dc-001,15 kw,tesla,e-soul 64 kwh,,,,,230,yes,awd,type 2 ccs,suv,c,,,audi e-tron,compact suv,,5 seater,350 l,excite,dark xz plus lux,medium,slow
tesla cybertruck single motor,battery electric vehicle |       100 kwh,,,,,740 km/h,rear wheel drive,,"€45,000","£39,000",ndmc,between kirti mann plaza and nmc hospital sector 30 noida,"electric vehicle charger, between kirti mann plaza and nmc hospital sector 30 noida",,,dc-001,15 kw,tesla,e-soul 64 kwh,,,,,230,yes,awd,type 2 ccs,suv,c,,,audi e-tron,compact suv,,5 seater,350 l,excite,dark xz plus lux,medium,slow
tesla cybertruck dual motor,battery electric vehicle |       120 kwh,,,,,710 km/h,all wheel drive,,"€55,000","£48,000",ndmc,between kirti mann plaza and nmc hospital sector 30 noida,"electric vehicle charger, between kirti mann plaza and nmc hospital sector 30 noida",,,dc-001,15 kw,tesla,e-soul 64 kwh,,,,,230,yes,awd,type 2 ccs,suv,c,,,audi e-tron,compact suv,,5 seater,350 l,excite,dark xz plus lux,medium,slow
tesla cybertruck tri motor,battery electric vehicle |       200 kwh,,,,,710 km/h,all wheel drive,,"€75,000","£68,000",ndmc,between kirti mann plaza and nmc hospital sector 30 noida,"electric vehicle charger, between kirti mann plaza and nmc hospital sector 30 noida",,,dc-001,15 kw,tesla,e-soul 64 kwh,,,,,230,yes,awd,type 2 ccs,suv,c,,,audi e-tron,compact suv,,5 seater,350 l,excite,dark xz plus lux,medium,slow
